Pseudo-terminal will not be allocated because stdin is not a terminal.
mise $ sudo /usr/local/bin/mise --no-config --no-env --no-hooks bootstrap __inspect-system-files
unchanged  group:media                                                        present gid 3000                                                                                                                                                             present gid 3000
unchanged  group:thurstonsand                                                 present gid 1000                                                                                                                                                             present
unchanged  package:apt:ca-certificates                                        installed (20250419)                                                                                                                                                         installed (any version)
unchanged  package:apt:curl                                                   installed (8.14.1-2+deb13u4)                                                                                                                                                 installed (any version)
unchanged  package:apt:git                                                    installed (1:2.47.3-0+deb13u1)                                                                                                                                               installed (any version)
unchanged  package:apt:openssh-server                                         installed (1:10.0p1-7+deb13u4)                                                                                                                                               installed (any version)
unchanged  package:apt:sudo                                                   installed (1.9.16p2-3+deb13u2)                                                                                                                                               installed (any version)
unchanged  package:apt:smartmontools                                          installed (7.5-2~bpo13+1)                                                                                                                                                    installed (any version)
unchanged  package:apt:linux-headers-amd64                                    installed (6.12.107-1)                                                                                                                                                       installed (any version)
unchanged  package:apt:zfs-dkms                                               installed (2.3.9-0+deb13u1)                                                                                                                                                  installed (any version)
unchanged  package:apt:zfsutils-linux                                         installed (2.3.9-0+deb13u1)                                                                                                                                                  installed (any version)
unchanged  package:apt:python3                                                installed (3.13.5-1)                                                                                                                                                         installed (any version)
unchanged  package:apt:zfs-zed                                                installed (2.3.9-0+deb13u1)                                                                                                                                                  installed (any version)
unchanged  package:apt:acl                                                    installed (2.3.2-2+b1)                                                                                                                                                       installed (any version)
unchanged  package:apt:sanoid                                                 installed (2.2.0-2)                                                                                                                                                          installed (any version)
unchanged  file:/etc/systemd/system/pod042-heartbeat.timer                    file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  file:/etc/smartd.conf                                              file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/zfs/zed.d/zed.rc                                         file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/zfs/zed.d/all-storage-alert                              file mode 0755 uid 0 gid 0                                                                                                                                                   file mode 0755 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/zfs/zed.d/statechange-notify.sh                          absent                                                                                                                                                                       absent                                                                                         ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/zfs/zed.d/data-notify.sh                                 absent                                                                                                                                                                       absent                                                                                         ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/zfs/zed.d/scrub_finish-notify.sh                         absent                                                                                                                                                                       absent                                                                                         ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/zfs/zed.d/resilver_finish-notify.sh                      absent                                                                                                                                                                       absent                                                                                         ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/zfs/zed.d/deadman-slot_off.sh                            absent                                                                                                                                                                       absent                                                                                         ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/zfs/zed.d/statechange-slot_off.sh                        absent                                                                                                                                                                       absent                                                                                         ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/zfs/zed.d/resilver_finish-start-scrub.sh                 absent                                                                                                                                                                       absent                                                                                         ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/etc/apt/sources.list.d/zfs-contrib.sources                   file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.repositories.toml
unchanged  file:/etc/apt/sources.list.d/smartmontools-backports.sources       file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.repositories.toml
unchanged  file:/etc/apt/preferences.d/smartmontools                          file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.repositories.toml
unchanged  file:/etc/sudoers.d/thurstonsand                                   file mode 0440 uid 0 gid 0                                                                                                                                                   file mode 0440 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.base.toml
unchanged  file:/etc/ssh/sshd_config.d/00-ansiblonomicon.conf                 file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.base.toml
unchanged  user:thurstonsand                                                  present uid 1000; group thurstonsand; groups audio,cdrom,dip,floppy,netdev,plugdev,sudo,users,video; home /home/thurstonsand; shell /bin/bash; comment Thurston Sandberg,,,  present; group thurstonsand; additional groups sudo; home /home/thurstonsand; shell /bin/bash
unchanged  file:/etc/sanoid/sanoid.conf                                       file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  file:/etc/systemd/system/sanoid.service.d/healthchecks.conf        file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  file:/etc/systemd/system/sanoid-prune.service.d/healthchecks.conf  file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  file:/etc/systemd/system/zfs-scrub@.service.d/healthchecks.conf    file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  file:/usr/local/lib/python3.13/dist-packages/pod042_storage.py     file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  directory:/etc/alerting/checks                                     directory mode 0700 uid 0 gid 0                                                                                                                                              directory mode 0700 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  file:/etc/alerting/hark-webhook-url                                file mode 0600 uid 0 gid 0                                                                                                                                                   file mode 0600 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.alerting.toml
unchanged  file:/usr/local/bin/sanoid-run                                     file mode 0755 uid 0 gid 0                                                                                                                                                   file mode 0755 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  file:/usr/local/bin/hc-ping                                        file mode 0755 uid 0 gid 0                                                                                                                                                   file mode 0755 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  file:/usr/local/bin/smartd-alert                                   file mode 0755 uid 0 gid 0                                                                                                                                                   file mode 0755 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  file:/usr/local/bin/storage-alert                                  file mode 0755 uid 0 gid 0                                                                                                                                                   file mode 0755 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.alerting.toml
unchanged  file:/etc/mise/host-tools.toml                                     file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.base.toml
unchanged  directory:/home/thurstonsand/code                                  directory mode 0755 uid 1000 gid 1000                                                                                                                                        directory mode 0755 owner thurstonsand group thurstonsand                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.base.toml
unchanged  directory:/home/thurstonsand/.ssh                                  directory mode 0700 uid 1000 gid 1000                                                                                                                                        directory mode 0700 owner thurstonsand group thurstonsand                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.base.toml
unchanged  file:/etc/alerting/checks/pod042-sanoid.url                        file mode 0600 uid 0 gid 0                                                                                                                                                   file mode 0600 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  file:/etc/alerting/checks/pod042-sanoid-prune.url                  file mode 0600 uid 0 gid 0                                                                                                                                                   file mode 0600 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  file:/etc/alerting/checks/pod042-heartbeat.url                     file mode 0600 uid 0 gid 0                                                                                                                                                   file mode 0600 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  file:/etc/alerting/checks/pod042-scrub-ark.url                     file mode 0600 uid 0 gid 0                                                                                                                                                   file mode 0600 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  file:/etc/alerting/checks/pod042-scrub-black-box.url               file mode 0600 uid 0 gid 0                                                                                                                                                   file mode 0600 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  file:/home/thurstonsand/.ssh/authorized_keys                       file mode 0600 uid 1000 gid 1000                                                                                                                                             file mode 0600 owner thurstonsand group thurstonsand                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.base.toml
unchanged  service:sanoid.timer                                               active; enabled                                                                                                                                                              running; enabled; unmasked; on change restart                                                  ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  service:pod042-heartbeat.timer                                     active; enabled                                                                                                                                                              running; enabled; unmasked; on change restart                                                  ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  service:zfs-scrub-monthly@ark.timer                                active; enabled                                                                                                                                                              running; enabled; unmasked; on change restart                                                  ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  service:zfs-scrub-monthly@black-box.timer                          active; enabled                                                                                                                                                              running; enabled; unmasked; on change restart                                                  ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  service:smartmontools                                              active; enabled                                                                                                                                                              running; enabled; unmasked; on change restart                                                  ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  service:zfs-zed                                                    active; enabled                                                                                                                                                              running; enabled; unmasked; on change restart                                                  ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  service:zfs-import-cache                                           active; enabled                                                                                                                                                              running; enabled; unmasked; on change reload-or-restart                                        ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.storage.toml
unchanged  service:zfs-mount                                                  active; enabled                                                                                                                                                              running; enabled; unmasked; on change reload-or-restart                                        ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.storage.toml
unchanged  service:zfs-import.target                                          active; enabled                                                                                                                                                              running; enabled; unmasked; on change reload-or-restart                                        ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.storage.toml
unchanged  service:zfs.target                                                 active; enabled                                                                                                                                                              running; enabled; unmasked; on change reload-or-restart                                        ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.storage.toml
unchanged  service:ssh                                                        active; enabled                                                                                                                                                              running; enabled; unmasked; on change reload-or-restart                                        ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.base.toml
Plan: 0 create, 0 update, 74 unchanged, 0 remove, 0 unknown
Dataset policy check: 3 active, 65 quarantined
